,O,D,flow
1332,20471,8654,1
1333,13491,13115,1
1334,20211,13382,1
1335,19361,8683,1
1336,2024,7136,1
1337,1970,28805,1
1338,14724,4322,1
1339,29941,22859,1
1340,14465,23364,1
1341,6747,28891,1
1342,14460,27442,1
1343,15252,26120,1
1344,19309,16222,1
1345,38666,22239,1
1346,32593,31211,1
1347,32593,16378,1
1348,32593,17193,1
1349,30383,26123,1
1350,21696,16220,1
1351,32396,17193,1
1352,1187,19364,1
1353,17628,934,1
1354,34373,14161,1
1355,30021,17050,1
1356,821,14820,1
1357,20315,22920,1
1358,9435,29278,1
1359,9700,3725,1
1360,12101,11079,1
1361,1961,19032,1
1362,8451,4249,1
